,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
0,"Kokapet, Outer Ring",Road,Villa,4,650000,Immediately,Bachelors/Family,9700,4,4
1,Nalagandla,,Flat,4,250000,Immediately,Bachelors/Family,2809,4,4
2,Nalagandla,,Flat,3,130000,Immediately,Family,4030,5,20
3,Kondapur,,Flat,2,130000,Immediately,Bachelors,1600,5,5
4,"Kollur, Outer Ring",Road,Villa,5,140000,Immediately,Bachelors/Family,7000,7,4
5,Masjid,"Banda,",Flat,3,490000,Immediately,Bachelors/Family,700,7,2
6,Shaikpet,,Flat,3,12000,Immediately,Bachelors/Family,6000,3,1
7,Pragathi Nagar,"Kukatpally,",Flat,3,130000,Immediately,Bachelors/Family,1800,3,1
8,Tirumalagiri,,Villa,2,36000,Immediately,Bachelors/Family,2400,2,3
9,Hitech,"City,",Flat,3,110000,Immediately,Bachelors/Family,450,2,2
10,Kondapur,,Flat,3,5500,Immediately,Bachelors/Family,1200,2,1
11,"Kokapet, Outer Ring","Road,",Flat,3,40000,Immediately,Bachelors/Family,1500,2,2
12,Khajaguda,,Villa,4,82500,Immediately,Bachelors/Family,1600,2,2
13,Defence Colony,Sainikpuri,Flat,3,160000,Immediately,Bachelors/Family,2200,2,1
14,Pragathi,"Enclave,",Flat,3,130000,Immediately,Bachelors/Family,1450,> 10,1
15,"Financial District, Nanakram","Guda,",Flat,3,120000,Immediately,Bachelors/Family,1700,> 10,3
16,Izzathnagar,,Flat,4,320000,Immediately,Bachelors/Family,8000,3,3
17,"Basheer Bagh, NH","7,",Flat,2,520000,Immediately,Bachelors/Family,444,3,4
18,Chanda,Nagar,Villa,3,95000,Immediately,Bachelors/Family,550,2,1
19,"Narsingi, Outer Ring","Road,",Flat,3,15000,Immediately,Bachelors/Family,1400,2,4
20,Narayanguda,,Flat,3,20000,Immediately,Bachelors/Family,8235,1,2
21,Gachibowli,,Flat,4,120000,Immediately,Bachelors/Family,2000,1,2
22,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,120000,From Aug '24,Bachelors/Family,1100,2,2
23,Dandamudi Enclave,"Jeedimetla,",Flat,4,40000,Immediately,Bachelors/Family,2400,2,5
24,Hastinapuram,,Flat,2,50000,Immediately,Bachelors/Family,2400,1,2
25,Alwal,,Flat,2,30000,Immediately,Bachelors/Family,4900,1,2
26,Puppalguda,,Flat,3,30000,Immediately,Bachelors/Family,3459,1,1
27,Gachibowli,,Flat,3,30000,Immediately,Bachelors/Family,1356,1,1
28,"Kokapet, Outer Ring","Road,",Flat,2,27000,Immediately,Bachelors,1296,2,1
29,leke villa,Gandipet,Villa,5,28000,Immediately,Bachelors/Family,750,2,5
30,"Kokapet, Outer Ring",Road,Villa,4,11000,Immediately,Bachelors,1775,4,6
31,Nalagandla,,Flat,4,160000,Immediately,Bachelors/Family,3400,4,2
32,Nalagandla,,Flat,3,75000,Immediately,Bachelors/Family,1600,4,3
33,Kondapur,,Flat,2,47000,Immediately,Bachelors/Family,2000,4,1
34,"Kollur, Outer Ring",Road,Villa,5,80000,Immediately,Bachelors/Family,1800,1,1
35,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,2600,1,4
36,Shaikpet,,Flat,3,40000,Immediately,Bachelors/Family,1600,3,5
37,Pragathi Nagar,"Kukatpally,",Flat,3,140000,Immediately,Bachelors/Family,3900,3,5
38,Tirumalagiri,,Villa,2,30000,Immediately,Bachelors/Family,2000,3,3
39,Hitech,"City,",Flat,3,10000,Immediately,Bachelors/Family,18000,3,3
40,Kondapur,,Flat,3,110000,Immediately,Bachelors/Family,2800,2,3
41,"Kokapet, Outer Ring","Road,",Flat,3,150000,Immediately,Bachelors/Family,3500,2,3
42,Khajaguda,,Villa,4,58000,Immediately,Bachelors/Family,700,1,2
43,Defence Colony,Sainikpuri,Flat,3,15000,Immediately,Bachelors/Family,1250,1,1
44,Pragathi,"Enclave,",Flat,3,72000,Immediately,Bachelors/Family,7800,2,1
45,"Financial District, Nanakram","Guda,",Flat,3,250000,Immediately,Bachelors/Family,1272,2,4
46,Izzathnagar,,Flat,4,35000,Immediately,Family,1800,3,4
47,"Basheer Bagh, NH","7,",Flat,2,65000,Immediately,Bachelors,7000,3,29
48,Chanda,Nagar,Villa,3,250000,Immediately,Bachelors/Family,27000,3,1
49,"Narsingi, Outer Ring","Road,",Flat,3,330000,Immediately,Bachelors/Family,7500,3,3
50,Narayanguda,,Flat,3,320000,Immediately,Bachelors/Family,1200,3,1
51,Gachibowli,,Flat,4,38000,Immediately,Family,8500,3,23
52,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,660000,Immediately,Bachelors/Family,1800,2,2
53,Dandamudi Enclave,"Jeedimetla,",Flat,4,130000,Immediately,Bachelors/Family,2500,2,4
54,Hastinapuram,,Flat,2,75000,Immediately,Bachelors/Family,4590,3,3
55,Alwal,,Flat,2,30000,Immediately,Bachelors/Family,3900,3,5
56,Puppalguda,,Flat,3,150000,Immediately,Bachelors/Family,1500,1,2
57,Gachibowli,,Flat,3,70000,Immediately,Bachelors/Family,8000,1,11
58,"Kokapet, Outer Ring","Road,",Flat,2,350000,Immediately,Bachelors/Family,1000,2,5
59,leke villa,Gandipet,Villa,5,70000,Immediately,Bachelors/Family,7900,2,1
60,"Kokapet, Outer Ring",Road,Villa,4,1510000,Immediately,Bachelors/Family,1800,4,4
61,Nalagandla,,Flat,4,60000,Immediately,Bachelors/Family,1945,4,4
62,Nalagandla,,Flat,3,450000,Immediately,Bachelors/Family,1800,3,1
63,Kondapur,,Flat,2,130000,Immediately,Bachelors/Family,2566,3,1
64,"Kollur, Outer Ring",Road,Villa,5,250000,Immediately,Bachelors/Family,1500,1,1
65,Masjid,"Banda,",Flat,3,180000,Immediately,Bachelors/Family,650,1,3
66,Shaikpet,,Flat,3,88000,Immediately,Bachelors/Family,1700,2,3
67,Pragathi Nagar,"Kukatpally,",Flat,3,35000,Immediately,Bachelors/Family,2500,2,8
68,Tirumalagiri,,Villa,2,150000,Immediately,Bachelors/Family,3000,1,2
69,Hitech,"City,",Flat,3,120000,Immediately,Bachelors/Family,6000,1,9
70,Kondapur,,Flat,3,150000,Immediately,Bachelors/Family,1640,2,1
71,"Kokapet, Outer Ring","Road,",Flat,3,110000,Immediately,Bachelors/Family,3600,2,4
72,Khajaguda,,Villa,4,30000,Immediately,Bachelors/Family,900,3,1
73,Defence Colony,Sainikpuri,Flat,3,32000,Immediately,Bachelors/Family,4309,3,17
74,Pragathi,"Enclave,",Flat,3,280000,Immediately,Bachelors/Family,2500,5,3
75,"Financial District, Nanakram","Guda,",Flat,3,85000,Immediately,Bachelors/Family,3300,5,2
76,Izzathnagar,,Flat,4,230000,Immediately,Bachelors/Family,875,1,3
77,"Basheer Bagh, NH","7,",Flat,2,50000,Immediately,Bachelors/Family,2049,1,2
78,Chanda,Nagar,Villa,3,85000,Immediately,Bachelors,2911,4,1
79,"Narsingi, Outer Ring","Road,",Flat,3,110000,Immediately,Bachelors/Family,2300,4,2
80,Narayanguda,,Flat,3,35000,Immediately,Bachelors,5800,2,2
81,Gachibowli,,Flat,4,20000,Immediately,Bachelors/Family,2800,2,1
82,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,60000,Immediately,Bachelors/Family,2130,1,2
83,Dandamudi Enclave,"Jeedimetla,",Flat,4,60000,From Aug '24,Bachelors,520,1,1
84,Hastinapuram,,Flat,2,10000,Immediately,Bachelors/Family,1900,1,18
85,Alwal,,Flat,2,52000,Immediately,Bachelors/Family,3900,1,1
86,Puppalguda,,Flat,3,130000,Immediately,Bachelors,1200,2,15
87,Gachibowli,,Flat,3,35000,Immediately,Bachelors/Family,1700,2,3
88,"Kokapet, Outer Ring","Road,",Flat,2,50000,Immediately,Bachelors/Family,2000,8,4
89,leke villa,Gandipet,Villa,5,20000,Immediately,Bachelors/Family,1500,8,1
90,"Kokapet, Outer Ring",Road,Villa,4,45000,Immediately,Bachelors/Family,2400,9,3
91,Nalagandla,,Flat,4,35000,Immediately,Bachelors/Family,6300,9,3
92,Nalagandla,,Flat,3,210000,Immediately,Bachelors/Family,2400,6,5
93,Kondapur,,Flat,2,75000,Immediately,Bachelors,350,6,1
94,"Kollur, Outer Ring",Road,Villa,5,20000,Immediately,Bachelors/Family,2600,3,2
95,Masjid,"Banda,",Flat,3,65000,Immediately,Bachelors/Family,800,3,19
96,Shaikpet,,Flat,3,70000,Immediately,Bachelors/Family,1500,2,2
97,Pragathi Nagar,"Kukatpally,",Flat,3,22000,Immediately,Bachelors/Family,1400,2,4
98,Tirumalagiri,,Villa,2,120000,Immediately,Bachelors/Family,1600,2,2
99,Hitech,"City,",Flat,3,170000,Immediately,Bachelors/Family,15000,2,10
100,Kondapur,,Flat,3,650000,Immediately,Bachelors/Family,2780,1,1
101,"Kokapet, Outer Ring","Road,",Flat,3,190000,Immediately,Bachelors/Family,11800,1,4
102,Khajaguda,,Villa,4,650000,Immediately,Bachelors/Family,4300,5,15
103,Defence Colony,Sainikpuri,Flat,3,60000,Immediately,Bachelors/Family,2400,5,1
104,Pragathi,"Enclave,",Flat,3,250000,Immediately,Bachelors/Family,1000,3,4
105,"Financial District, Nanakram","Guda,",Flat,3,68000,Immediately,Bachelors,2400,3,5
106,Izzathnagar,,Flat,4,28000,Immediately,Bachelors/Family,3200,3,5
107,"Basheer Bagh, NH","7,",Flat,2,10000,Immediately,Bachelors/Family,4400,3,3
108,Chanda,Nagar,Villa,3,65000,Immediately,Bachelors,2700,3,2
109,"Narsingi, Outer Ring","Road,",Flat,3,290000,Immediately,Bachelors/Family,2300,3,2
110,Narayanguda,,Flat,3,150000,Immediately,Bachelors/Family,3700,2,2
111,Gachibowli,,Flat,4,60000,Immediately,Bachelors/Family,3200,2,6
112,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,66000,Immediately,Bachelors,1350,3,3
113,Dandamudi Enclave,"Jeedimetla,",Flat,4,50000,Immediately,Bachelors/Family,19500,3,2
114,Hastinapuram,,Flat,2,90000,Immediately,Family,1900,2,3
115,Alwal,,Flat,2,120000,From Aug '24,Bachelors/Family,1170,2,1
116,Puppalguda,,Flat,3,250000,Immediately,Bachelors/Family,1000,3,4
117,Gachibowli,,Flat,3,330000,Immediately,Bachelors/Family,1200,3,16
118,"Kokapet, Outer Ring","Road,",Flat,2,50000,Immediately,Bachelors/Family,2300,3,1
119,leke villa,Gandipet,Villa,5,19000,Immediately,Bachelors/Family,1575,3,5
120,"Kokapet, Outer Ring",Road,Villa,4,70000,Immediately,Bachelors/Family,880,1,1
121,Nalagandla,,Flat,4,70000,Immediately,Bachelors/Family,800,1,3
122,Nalagandla,,Flat,3,43000,Immediately,Family,3000,3,3
123,Kondapur,,Flat,2,13900,Immediately,Bachelors,1750,3,3
124,"Kollur, Outer Ring",Road,Villa,5,10000,Immediately,Bachelors,1700,1,1
125,Masjid,"Banda,",Flat,3,70000,Immediately,Bachelors,1100,1,4
126,Shaikpet,,Flat,3,45000,Immediately,Bachelors/Family,1600,2,11
127,Pragathi Nagar,"Kukatpally,",Flat,3,110000,Immediately,Bachelors/Family,1250,2,21
128,Tirumalagiri,,Villa,2,40000,Immediately,Bachelors,1200,4,2
129,Hitech,"City,",Flat,3,45000,Immediately,Family,2500,4,8
130,Kondapur,,Flat,3,35000,Immediately,Bachelors/Family,1400,3,3
131,"Kokapet, Outer Ring","Road,",Flat,3,28000,Immediately,Bachelors/Family,1400,3,3
132,Khajaguda,,Villa,4,120000,Immediately,Bachelors/Family,1800,1,6
133,Defence Colony,Sainikpuri,Flat,3,68000,Immediately,Bachelors/Family,750,1,2
134,Pragathi,"Enclave,",Flat,3,80000,Immediately,Bachelors/Family,1550,4,7
135,"Financial District, Nanakram","Guda,",Flat,3,110000,Immediately,Bachelors/Family,1650,4,21
136,Izzathnagar,,Flat,4,62720,Immediately,Bachelors/Family,15,2,2
137,"Basheer Bagh, NH","7,",Flat,2,10000,Immediately,Bachelors/Family,320,2,2
138,Chanda,Nagar,Villa,3,60000,Immediately,Bachelors,500,4,4
139,"Narsingi, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,1410,4,16
140,Narayanguda,,Flat,3,60000,Immediately,Bachelors,1557,3,15
141,Gachibowli,,Flat,4,130000,Immediately,Bachelors,970,3,25
142,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors,1580,2,7
143,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors/Family,1600,2,4
144,Hastinapuram,,Flat,2,15000,Immediately,Bachelors/Family,1950,5,2
145,Alwal,,Flat,2,45000,Immediately,Bachelors,1750,5,12
146,Puppalguda,,Flat,3,24000,Immediately,Bachelors,500,2,2
147,Gachibowli,,Flat,3,45000,From Aug '24,Family,550,2,2
148,"Kokapet, Outer Ring","Road,",Flat,2,65000,Immediately,Bachelors,2100,3,3
149,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,3100,3,8
150,"Kokapet, Outer Ring",Road,Villa,4,75000,Immediately,Bachelors/Family,2100,1,3
151,Nalagandla,,Flat,4,44500,Immediately,Bachelors,1770,1,2
152,Nalagandla,,Flat,3,53000,Immediately,Bachelors,2000,1,5
153,Kondapur,,Flat,2,45000,Immediately,Bachelors/Family,600,1,7
154,"Kollur, Outer Ring",Road,Villa,5,10000,Immediately,Bachelors/Family,4000,4,26
155,Masjid,"Banda,",Flat,3,53000,Immediately,Bachelors/Family,1900,4,5
156,Shaikpet,,Flat,3,60000,Immediately,Bachelors,1300,1,12
157,Pragathi Nagar,"Kukatpally,",Flat,3,90000,Immediately,Family,6800,1,26
158,Tirumalagiri,,Villa,2,110000,Immediately,Bachelors,1630,2,5
159,Hitech,"City,",Flat,3,38000,Immediately,Family,1900,2,7
160,Kondapur,,Flat,3,24000,Immediately,Bachelors/Family,2900,1,4
161,"Kokapet, Outer Ring","Road,",Flat,3,20000,Immediately,Bachelors/Family,6000,1,3
162,Khajaguda,,Villa,4,40000,Immediately,Bachelors,1250,4,4
163,Defence Colony,Sainikpuri,Flat,3,70000,Immediately,Bachelors/Family,1000,4,1
164,Pragathi,"Enclave,",Flat,3,120000,Immediately,Bachelors,1000,2,2
165,"Financial District, Nanakram","Guda,",Flat,3,55000,Immediately,Bachelors/Family,2961,2,1
166,Izzathnagar,,Flat,4,52000,Immediately,Bachelors,1500,4,1
167,"Basheer Bagh, NH","7,",Flat,2,65000,Immediately,Bachelors,750,4,1
168,Chanda,Nagar,Villa,3,130000,Immediately,Bachelors,6600,1,1
169,"Narsingi, Outer Ring","Road,",Flat,3,60000,Immediately,Bachelors/Family,1200,1,3
170,Narayanguda,,Flat,3,65000,Immediately,Bachelors,1900,5,4
171,Gachibowli,,Flat,4,65000,Immediately,Bachelors,3200,5,3
172,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,22500,Immediately,Bachelors,6456,2,5
173,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,1710,2,2
174,Hastinapuram,,Flat,2,60000,Immediately,Bachelors,1010,4,1
175,Alwal,,Flat,2,18000,Immediately,Bachelors/Family,1000,4,12
176,Puppalguda,,Flat,3,50000,Immediately,Bachelors/Family,2200,5,4
177,Gachibowli,,Flat,3,32000,Immediately,Bachelors,1150,5,1
178,"Kokapet, Outer Ring","Road,",Flat,2,140000,Immediately,Bachelors/Family,2400,2,4
179,leke villa,Gandipet,Villa,5,10000,Immediately,Bachelors/Family,400,2,4
180,"Kokapet, Outer Ring",Road,Villa,4,120000,Immediately,Bachelors/Family,600,2,4
181,Nalagandla,,Flat,4,16000,Immediately,Bachelors,3400,2,2
182,Nalagandla,,Flat,3,75000,Immediately,Bachelors/Family,500,3,1
183,Kondapur,,Flat,2,40000,Immediately,Bachelors/Family,2700,3,6
184,"Kollur, Outer Ring",Road,Villa,5,65000,Immediately,Family,3000,3,1
185,Masjid,"Banda,",Flat,3,70000,Immediately,Bachelors/Family,1350,3,3
186,Shaikpet,,Flat,3,18000,Immediately,Bachelors/Family,7100,2,4
187,Pragathi Nagar,"Kukatpally,",Flat,3,320000,From Nov '24,Bachelors/Family,1500,2,3
188,Tirumalagiri,,Villa,2,70000,Immediately,Bachelors/Family,1800,1,2
189,Hitech,"City,",Flat,3,19800,Immediately,Bachelors/Family,3300,1,2
190,Kondapur,,Flat,3,27000,Immediately,Bachelors/Family,2100,4,2
191,"Kokapet, Outer Ring","Road,",Flat,3,55000,Immediately,Bachelors,4000,4,2
192,Khajaguda,,Villa,4,5000,Immediately,Bachelors/Family,1700,10,1
193,Defence Colony,Sainikpuri,Flat,3,60000,Immediately,Bachelors/Family,3300,10,22
194,Pragathi,"Enclave,",Flat,3,16000,Immediately,Bachelors,450,4,3
195,"Financial District, Nanakram","Guda,",Flat,3,18000,Immediately,Bachelors,1800,4,1
196,Izzathnagar,,Flat,4,10000,Immediately,Bachelors/Family,3000,3,4
197,"Basheer Bagh, NH","7,",Flat,2,16000,Immediately,Family,1500,3,1
198,Chanda,Nagar,Villa,3,70000,Immediately,Bachelors/Family,2250,3,2
199,"Narsingi, Outer Ring","Road,",Flat,3,16500,Immediately,Bachelors/Family,242,3,1
200,Narayanguda,,Flat,3,60000,Immediately,Bachelors/Family,1250,6,2
201,Gachibowli,,Flat,4,20000,Immediately,Bachelors/Family,2400,6,6
202,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,30000,Immediately,Bachelors/Family,1300,5,1
203,Dandamudi Enclave,"Jeedimetla,",Flat,4,50000,Immediately,Bachelors,1900,5,2
204,Hastinapuram,,Flat,2,120000,Immediately,Family,3150,2,1
205,Alwal,,Flat,2,25000,Immediately,Bachelors/Family,2800,2,1
206,Puppalguda,,Flat,3,50000,Immediately,Bachelors/Family,11500,4,1
207,Gachibowli,,Flat,3,680000,Immediately,Bachelors/Family,4300,4,2
208,"Kokapet, Outer Ring","Road,",Flat,2,150000,Immediately,Bachelors/Family,1800,1,4
209,leke villa,Gandipet,Villa,5,110000,Immediately,Bachelors/Family,1700,1,2
210,"Kokapet, Outer Ring",Road,Villa,4,320000,Immediately,Bachelors/Family,2400,1,5
211,Nalagandla,,Flat,4,110000,Immediately,Bachelors,1200,1,12
212,Nalagandla,,Flat,3,120000,Immediately,Bachelors/Family,2200,1,3
213,Kondapur,,Flat,2,250000,Immediately,Bachelors/Family,3400,1,1
214,"Kollur, Outer Ring",Road,Villa,5,40000,Immediately,Bachelors/Family,1700,1,5
215,Masjid,"Banda,",Flat,3,10000,Immediately,Bachelors/Family,4800,1,2
216,Shaikpet,,Flat,3,24000,Immediately,Bachelors/Family,3000,3,1
217,Pragathi Nagar,"Kukatpally,",Flat,3,35000,Immediately,Bachelors/Family,27000,3,4
218,Tirumalagiri,,Villa,2,65000,Immediately,Bachelors/Family,18000,3,3
219,Hitech,"City,",Flat,3,20000,Immediately,Bachelors/Family,7900,3,9
220,Kondapur,,Flat,3,120000,Immediately,Bachelors/Family,2500,2,5
221,"Kokapet, Outer Ring","Road,",Flat,3,30000,Immediately,Bachelors/Family,2005,2,5
222,Khajaguda,,Villa,4,90000,Immediately,Bachelors/Family,2500,2,1
223,Defence Colony,Sainikpuri,Flat,3,250000,Immediately,Bachelors/Family,1065,2,1
224,Pragathi,"Enclave,",Flat,3,75000,Immediately,Bachelors/Family,5549,4,3
225,"Financial District, Nanakram","Guda,",Flat,3,1050000,From Aug '24,Bachelors/Family,900,4,2
226,Izzathnagar,,Flat,4,70000,Immediately,Bachelors,1140,3,3
227,"Basheer Bagh, NH","7,",Flat,2,240000,Immediately,Bachelors/Family,1218,3,15
228,Chanda,Nagar,Villa,3,95000,Immediately,Bachelors/Family,1300,2,1
229,"Narsingi, Outer Ring","Road,",Flat,3,290000,Immediately,Bachelors/Family,5600,2,5
230,Narayanguda,,Flat,3,850000,Immediately,Bachelors/Family,2800,2,19
231,Gachibowli,,Flat,4,39000,Immediately,Bachelors/Family,3200,2,1
232,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,25000,Immediately,Family,1800,3,7
233,Dandamudi Enclave,"Jeedimetla,",Flat,4,55000,Immediately,Bachelors/Family,1650,3,3
234,Hastinapuram,,Flat,2,45000,Immediately,Bachelors/Family,2800,2,3
235,Alwal,,Flat,2,85000,Immediately,Bachelors,1800,2,2
236,Puppalguda,,Flat,3,50000,Immediately,Bachelors/Family,2200,2,2
237,Gachibowli,,Flat,3,90000,Immediately,Bachelors/Family,37750,2,15
238,"Kokapet, Outer Ring","Road,",Flat,2,440000,From Aug '24,Bachelors/Family,1700,1,2
239,leke villa,Gandipet,Villa,5,110000,Immediately,Bachelors,2915,1,2
240,"Kokapet, Outer Ring",Road,Villa,4,120000,Immediately,Bachelors/Family,1200,2,1
241,Nalagandla,,Flat,4,1210000,Immediately,Bachelors/Family,15000,2,3
242,Nalagandla,,Flat,3,350000,Immediately,Bachelors/Family,600,5,1
243,Kondapur,,Flat,2,75000,Immediately,Bachelors/Family,2500,5,2
244,"Kollur, Outer Ring",Road,Villa,5,180000,Immediately,Bachelors/Family,4800,3,2
245,Masjid,"Banda,",Flat,3,75000,Immediately,Bachelors/Family,1600,3,4
246,Shaikpet,,Flat,3,80000,Immediately,Bachelors/Family,1900,3,15
247,Pragathi Nagar,"Kukatpally,",Flat,3,760000,Immediately,Bachelors/Family,2400,3,4
248,Tirumalagiri,,Villa,2,50000,Immediately,Bachelors/Family,1300,3,2
249,Hitech,"City,",Flat,3,59900,Immediately,Bachelors/Family,1850,3,2
250,Kondapur,,Flat,3,65000,Immediately,Bachelors,4920,4,1
251,"Kokapet, Outer Ring","Road,",Flat,3,130000,Immediately,Bachelors/Family,640,4,4
252,Khajaguda,,Villa,4,10000,Immediately,Bachelors/Family,2000,2,1
253,Defence Colony,Sainikpuri,Flat,3,75000,Immediately,Bachelors/Family,1400,2,6
254,Pragathi,"Enclave,",Flat,3,480000,Immediately,Bachelors/Family,700,1,5
255,"Financial District, Nanakram","Guda,",Flat,3,45000,Immediately,Bachelors/Family,180,1,2
256,Izzathnagar,,Flat,4,10000,Immediately,Bachelors/Family,2400,3,2
257,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,6000,3,7
258,Chanda,Nagar,Villa,3,20000,Immediately,Bachelors,5000,1,3
259,"Narsingi, Outer Ring","Road,",Flat,3,70000,From Jul '24,Family,1800,1,1
260,Narayanguda,,Flat,3,160000,Immediately,Bachelors/Family,1000,3,3
261,Gachibowli,,Flat,4,15000,Immediately,Bachelors/Family,950,3,1
262,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,190000,Immediately,Bachelors,1500,3,3
263,Dandamudi Enclave,"Jeedimetla,",Flat,4,90000,Immediately,Bachelors/Family,1400,3,4
264,Hastinapuram,,Flat,2,250000,Immediately,Bachelors/Family,2000,3,6
265,Alwal,,Flat,2,18000,Immediately,Bachelors/Family,2200,3,2
266,Puppalguda,,Flat,3,160000,Immediately,Bachelors/Family,6000,3,2
267,Gachibowli,,Flat,3,49000,Immediately,Bachelors/Family,2200,3,9
268,"Kokapet, Outer Ring","Road,",Flat,2,11000,Immediately,Bachelors/Family,3700,2,5
269,leke villa,Gandipet,Villa,5,33000,Immediately,Bachelors/Family,1335,2,5
270,"Kokapet, Outer Ring",Road,Villa,4,10000,From Aug '24,Bachelors/Family,1800,3,3
271,Nalagandla,,Flat,4,150000,Immediately,Bachelors,450 sqyrd,3,5
272,Nalagandla,,Flat,3,75000,Immediately,Bachelors/Family,1400,3,3
273,Kondapur,,Flat,2,36000,Immediately,Bachelors/Family,350,3,2
274,"Kollur, Outer Ring",Road,Villa,5,76000,Immediately,Bachelors,4200,3,3
275,Masjid,"Banda,",Flat,3,45000,Immediately,Bachelors,1900,3,1
276,Shaikpet,,Flat,3,90000,Immediately,Bachelors/Family,9600,3,6
277,Pragathi Nagar,"Kukatpally,",Flat,3,110000,Immediately,Family,2600,3,15
278,Tirumalagiri,,Villa,2,22000,Immediately,Bachelors/Family,1400,3,5
279,Hitech,"City,",Flat,3,32000,Immediately,Bachelors/Family,850,3,4
280,Kondapur,,Flat,3,45000,Immediately,Family,1020,5,2
281,"Kokapet, Outer Ring","Road,",Flat,3,24000,Immediately,Bachelors/Family,750,5,2
282,Khajaguda,,Villa,4,10000,Immediately,Bachelors/Family,3500,3,2
